claim_id,domain,defect_or_process,claim,evidence_nature,evidence_grade,target_match,material_system,geometry_and_scale,drying_boundary,source_key,doi_or_url,source_location,support_status,competing_explanation,transfer_limit,notes
"E052","baking analogy","internal redistribution","Spatially resolved non-invasive NMR observed inward water redistribution in unyeasted dough under a thermal gradient.","spatially resolved NMR","D2","low target match; strong method directness","unyeasted water dough","food sample under controlled gradient","controlled heating","BAK06","https://doi.org/10.1016/j.jfoodeng.2024.111969","abstract and reported NMR profiles","supported in source system","Temperature-dependent relaxation and water binding can affect NMR signals","Chemistry geometry and vapor equilibrium differ from NMP electrodes.","Supports spatial measurement rather than a single average volatile metric."
"E053","baking analogy","surface constraint","Earlier imposed surface constraint changed bread expansion gas release and the depth of a dense internal region.","artificial crust constraint + porosity and gas-release observation","D2","low target match; direct mechanism intervention","bread dough with artificial surface cover","centimetre-scale food sample","baking","BAK08","https://doi.org/10.1016/j.jfoodeng.2006.10.008","constraint timing comparisons","supported in source system","The cover changes heat and mass transfer as well as mechanics","Bread is positive-pressure expansion-dominated while an electrode is typically shrinkage and suction dominated.","Supports asking how an early locked surface redirects later internal deformation."
"E054","baking analogy","post-oven evolution","Bread volume and internal moisture distribution continue changing after heating and depend on the state reached at oven exit.","cooling volume measurements + crust-on/crust-off storage comparison","D2","low target match; direct food evidence","bread and crumb","centimetre-scale food","post-bake cooling and sealed storage","BAK09;BAK10","https://doi.org/10.1016/j.jcs.2009.10.006; https://doi.org/10.1094/CCHEM.2000.77.4.484","cooling and redistribution experiments","supported in source systems","Gas cooling starch transitions and ambient water sorption contribute","Food-specific contraction percentages and time scales cannot transfer.","Supports extending electrode observation through cooling and handling."
"E055","baking analogy","delayed checking","Initial moisture gradients plus moisture-dependent viscoelastic and swelling properties generated delayed biscuit checking with full-field strain trends consistent with a diffusion-stress model.","speckle interferometry + measured properties + finite element model","D2","low target match; strong architecture","cracker/biscuit","free food sheet","cooling/storage at controlled humidity","BAK12","https://doi.org/10.1098/rspa.2005.1469","whole-field strain and model comparison","supported in source system","Environmental absorption contributes to rim expansion","Electrodes are foil-supported and do not normally absorb NMP from ambient.","Transfers concentration-gradient to eigenstrain to stress to delayed-fracture architecture."
"E056","baking analogy","moisture-gradient checking","Thicker round biscuits showed greater water heterogeneity and more checking while thinner pierced rectangular biscuits were more uniform and nearly crack-free.","Karl Fischer + NIR imaging + 15-day crack counts","D2","low target match; direct intervention-style evidence","biscuit","two shapes and thicknesses","post-bake cooling/storage","BAK13","https://doi.org/10.1016/j.foodchem.2019.125078","moisture maps and checking counts","supported in studied foods","Shape piercing and formulation interactions are not fully separable","Piercing is not an electrode process recommendation and food moisture thresholds do not transfer.","Supports thickness and spatial distribution as separate from average content."
"E057","baking analogy","average volatile counterexample","Microwave post-baking produced more uniform biscuit moisture and reduced checking from about 61 percent to about 5 percent at similar total moisture and appearance.","controlled intervention experiment","D2","low target match; high causal value","biscuit","laboratory food samples","conventional versus microwave-assisted baking","BAK14","https://doi.org/10.1016/S0260-8774(00)00186-2","checking moisture and strength comparison","supported in source recipe/device","Microwave also changes temperature and local material transitions","Percentages and microwave treatment cannot transfer to LFP.","Strong cross-domain counterexample to using average residual volatile as a sufficient quality coordinate."
"E058","baking analogy","starch early drying","Early starch-cake drying was controlled by liquid transport through interparticle pores with capillary-pressure-driven shrinkage and nonlinear elasticity.","pore and mechanical measurements + multiphase model","D2","medium structural similarity","unmodified starch-water slurry","deep laboratory cake","surface evaporation","BAK15","https://doi.org/10.1103/PhysRevE.80.036116","pore structure mechanical data and drying model","supported in source system","Sedimentation and starch water uptake alter the apparent stages","Starch grains absorb water deform and shrink unlike LFP and the system lacks PVDF carbon and foil.","Close bridge for particle skeleton Darcy flow and capillary stress."
"E059","baking analogy","starch late drying","A later vapor-transport regime associated with intragranular porosity was separated from the early liquid-flow regime in drying starch cake.","drying response + pore characterization + multiphase model","D2","medium structural similarity","starch-water slurry with inter- and intragranular pores","deep laboratory cake","surface evaporation","BAK15","https://doi.org/10.1103/PhysRevE.80.036116","two drying regimes","supported in source system","A continuous distribution of pore scales can mimic two effective regimes","Electrode aggregate-scale NMP storage must be independently demonstrated.","Dual-porosity is an optional LFP branch not a default."
"E060","baking analogy","crack-front evolution","In-situ X-ray radiography and CT observed three-dimensional columnar crack networks and evolving crack spacing behind a starch drying front.","in-situ radiography and CT","D2","low direct target match; strong visualization","corn-starch slurry","deep cake","controlled drying","BAK16","https://doi.org/10.1007/s11340-011-9581-1","crack-front imaging","supported in source geometry","Particle morphology and boundary conditions also select spacing","Columnar deep-cake geometry is outside the thin supported-electrode regime.","Transfers synchronized transport-front and crack-front measurement logic."
"E061","cross-domain synthesis","residual NMP sufficiency","Average residual NMP should be paired with through-thickness and cross-web distributions and post-oven observations because equal averages can conceal different internal histories.","project inference from battery heat/mass evidence and baking counterexamples","A–D2","high relevance; indirect target proof","target LFP plus food analogues","commercial coating intended","multi-zone oven plus cooling","BAT12;BAK12;BAK13;BAK14","https://doi.org/10.1016/j.jpowsour.2018.01.007; https://doi.org/10.1098/rspa.2005.1469; https://doi.org/10.1016/j.foodchem.2019.125078; https://doi.org/10.1016/S0260-8774(00)00186-2","cross-source synthesis","testable hypothesis for LFP","Endpoint redistribution may be weak if NMP is already negligible","Food gradients and delayed times cannot set electrode thresholds.","Measure inventory distribution and history as separate coordinates."
"E062","cross-domain synthesis","operational skin definition","An electrode skin should be defined by a sustained surface-to-bulk contrast in permeability diffusion mechanical locking or component fixation rather than by a smooth intact surface alone.","project inference from electrode counterevidence polymer skin theory and bread crust logic","B–D2/T","high relevance; indirect target proof","target LFP not directly demonstrated","thin supported coating","convective drying","BAT02;POL02;BAK07","https://doi.org/10.1016/j.jpowsour.2017.01.117; https://doi.org/10.1039/D1SM01343B; https://doi.org/10.1016/j.tifs.2009.04.001","cross-source synthesis","testable hypothesis","A continuous gradient can perform the same transport/mechanical role without a discrete skin","Bread crust has chemical transformations and polymer theory lacks particulate pores.","Skin+ is a model switch requiring direct target evidence."
"E063","baking analogy","pre-existing bubble population","Bread dough enters baking with an established bubble-size distribution that continues to evolve through growth coalescence breakup and gas loss during proving and baking.","review synthesis of primary dough studies","D2","low target match; pedagogical value","yeasted and non-yeasted bread dough literature","food dough and bread scales","mixing proving and baking","BAK18","https://doi.org/10.1002/cche.10699","review sections on entrainment bubble-size distribution proving and baking","supported in bread dough literature","Formulation mixing and fermentation histories strongly alter the bubble population","A dough foam relies on gas cells and viscoelastic gluten whereas a normal electrode should not use bubbles as a structural phase.","Transfers only the initial-condition audit: pre-existing defects may evolve after the drying boundary starts."
"E064","battery electrode","pre-visible D1 deformation","DVC detected approximately 1–2 um above-background in-plane displacement near the future first-crack region before the crack was clearly visible in the raw CT.","in-situ X-ray CT plus offline DVC","B","medium concept; low threshold transfer","NMC622/CB/PVDF/NMP model cathode","single 300 um-gap sample on 4 mm steel pin","ambient slow drying","BAT05","https://doi.org/10.1039/D5EB00201J","journal PDF pp.10–12 / printed 581–583","supported as method feasibility","A roughly 5 um directional full-field image-intensity artifact existed at the same early time","Single sample offline DVC with minute-scale scans; 1–2 um is not a production alarm threshold.","Record displacement background detection rule persistence and event-time interval before testing DIC as an early warning."
"E065","battery electrode","D1 initiation heterogeneity","Future crack and non-crack regions showed no clear difference in local active-particle count or active-particle volume at the analyzed scale.","pre-crack CT particle analysis; negative result","B","medium-low","NMC622/CB/PVDF/NMP model cathode","4 mm steel pin CT volume","ambient slow drying","BAT05","https://doi.org/10.1039/D5EB00201J","journal PDF pp.7–8 / printed 578–579","no clear association at analyzed resolution","Sub-resolution CBD defects pore throats or interface heterogeneity may control initiation","Does not prove local packing is irrelevant in LFP; it rejects a simple resolved-particle-density rule in this dataset.","Retain as negative evidence against choosing crack sites solely from active-particle density."
"E066","battery electrode","crack-adjacent compaction","Crack opening was accompanied by declining non-active-particle segmented volume near the crack and up to about 5 um displacement toward the substrate after total layer height had plateaued.","CT segmentation plus DVC","B","medium","NMC622/CB/PVDF/NMP model cathode","selected 300 um-gap region on steel pin","ambient slow drying","BAT05","https://doi.org/10.1039/D5EB00201J","journal PDF pp.10–11; thesis PDF pp.136–138 / printed 104–106","supported in source region","Continued local drying shrinkage segmentation changes and motion blur also affect the apparent volume","The segmented non-NMC fraction contains liquid air CBD and artifacts and is not true porosity.","Couple crack opening to local displacement but do not infer pore pressure directly from segmentation."
"E067","battery electrode","crack-performance confounding","Crack-rich electrodes around 60–130 um showed better high-rate capacity than matched-thickness smooth references in the study but the crack and reference formulations differed in active material carbon binder and solids content.","primary electrochemical experiment with major formulation confounding","B/confounded","medium chemistry; low causal isolation","NMC622/PVDF/NMP crack formulation 87:5:8 at 40 wt% versus reference 96:2:2 at 60 wt%","uncalendered laboratory electrodes","60 C hotplate at least 4 h","BAT27;BAT25","https://doi.org/10.1002/batt.202400260; https://discovery.ucl.ac.uk/id/eprint/10213921/","thesis PDF pp.96–98 and 112–115 / printed 64–66 and 80–83","association supported; crack-only causal claim not supported","Carbon/binder fraction CBD volume wet thickness adhesion and pore structure all changed with formulation","Not LFP and not a same-formulation controlled-crack comparison; electrodes were uncalendered.","Report 77.7 versus 9.5 percent as a 68.2 percentage-point difference rather than a relative 68 percent improvement."
"E068","battery electrode","model identifiability negative result","The thesis image-based electrochemical model overpredicted capacity gave a spatial lithiation trend conflicting with XRD and was nearly insensitive to very large solid-diffusion and CBD-porosity changes; it could not reliably isolate crack effects.","model validation and sensitivity negative evidence","B/thesis-T","medium methodological relevance","CT-derived cracked NMC622 electrode model","microscale image domain","post-drying electrochemical operation","BAT25","https://discovery.ucl.ac.uk/id/eprint/10213921/","thesis PDF pp.153–165 / printed 121–133","model not validated for claimed causal use","CBD segmentation and unresolved transport properties can make parameters non-identifiable","This is a post-drying model but the identifiability lesson transfers to drying models.","Require multiple time-resolved observables and falsification tests rather than endpoint-only fits."
"E069","battery electrode","rate- and depth-dependent crack function","Localized operando XRD found faster lithiation near a selected long crack in middle and current-collector regions while through-thickness gradients exceeded lateral near/far-crack gradients and very high rate limited the entire electrode.","localized operando MCC-XRD","B","medium for mechanism; low for population effect","NMC622/CB/PVDF/NMP 87:8:5 at 40 wt% solids","selected about 195 um dry cracked electrode; two electrodes total","80 C hotplate fabrication then electrochemical cycling","BAT26","https://doi.org/10.1039/D6EB00017G","local PDF pp.7–11 / printed 917–921","supported in selected electrodes","Gauge-volume averaging and crack-selection bias affect lateral contrasts","Post-drying functional evidence only; does not identify drying crack causes or acceptable production cracks.","Keep crack formation and crack-performance models separate."
"E070","battery electrode","heterogeneous pore emptying","Cryogenic interrupted sections directly showed large pores emptying before small and surface pores and observed isolated liquid clusters and pendular rings during late drying.","cryo-BIB-SEM interrupted sections","C","medium-low","graphite/CB/PVDF/NMP anode","about 114 um wet and 61 um dry","laboratory drying near 76.5 C","BAT02","https://doi.org/10.1016/j.jpowsour.2017.01.117","local PDF pp.7–9","supported in source system","Cryogenic preparation and two-dimensional sampling can alter or miss connectivity","Pore hierarchy and solvent differ from LFP; transfer event logic not thresholds.","Direct support for separating saturation distribution from average solvent inventory."
"E071","battery electrode","PVDF migration chronology","A PVDF concentration gradient was observed before strong pore emptying and before macroscopic shrinkage ended in the studied graphite/PVDF/NMP anode.","EDS on cryogenic interrupted sections plus process chronology","C","medium-low","graphite/CB/PVDF/NMP anode","about 114 um wet and 61 um dry","laboratory drying near 76.5 C","BAT02","https://doi.org/10.1016/j.jpowsour.2017.01.117","local PDF p.8 Fig.6","gradient observed; solvent-drag mechanism is author interpretation","Adsorption sedimentation and EDS preparation may contribute","Chronology and direction are not universal for cathodes or LFP.","Measure component fixation and pore-emptying events independently."
"E072","battery electrode","PVDF migration counterevidence and in-plane heterogeneity","In NMC532/PVDF/NMP electrodes pronounced through-thickness F/PVDF nonuniformity appeared mainly above 150 C while in-plane heterogeneity occurred at all tested drying conditions.","SEM-EDS maps plus transport/property comparison","B","medium","NMC532/CB/PVDF/NMP and graphite/PVDF/NMP","80 um blade gap; NMC loading about 13 mg cm-2","24 C long dry or 80 150 232 C short dry","BAT28","https://doi.org/10.3390/batteries8090107","local PDF pp.13–16","supported within relative EDS method","Porosity X-ray absorption fluorescence and sampling position affect F intensity","No systematic crack-onset or critical-thickness data; temperatures and thin geometry are not commercial LFP window values.","Counterevidence to universal PVDF rise and direct support for cross-web-by-depth sampling."
"E073","gel poroelasticity","drying-gradient stress","A spherical-gel poroelastic model predicted that stronger external evaporation increased liquid-content heterogeneity and maximum hoop effective stress while a slower boundary promoted internal equilibration.","macroscopic gel experiment plus finite-deformation poroelastic model","D3/T","medium structural; low material match","crosslinked water gel","free sphere","controlled external mass transfer","GEL05","https://doi.org/10.1103/PhysRevApplied.6.064010","local PDF pp.8–11; governing equations pp.2–4","model-supported in source system","Constitutive assumptions and spherical geometry control stress distribution","Internal pressure porosity and stress were model fields rather than directly measured; free gel and large deformation differ from foil-supported LFP.","Transfers the competition between external loading time and H-squared hydraulic equilibration time."
"E074","battery electrode","thick-film internal drying resistance","As water-based graphite films became thicker their late drying increasingly departed from a gas-side linear model and an effective moving-front/internal-resistance model improved the drying-time prediction.","gravimetric drying curves plus effective model comparison","C","medium-low","water-based graphite anode","reported thickness series about 83 to 299 um","controlled laboratory batch drying","BAT30","https://doi.org/10.1002/ente.202100013","reported thickness series and drying-curve/model comparison","supported for source drying kinetics","A continuous relative-permeability decline or heterogeneous clusters can mimic an effective front","The effective front was not directly observed as a planar interface; substrate and chemistry differ and cracking mechanics were not measured.","Supports adding thickness-dependent internal resistance after E2 without treating the model front as literal or as a fracture criterion."
"E075","battery electrode","stage-selective drying history","High-low-high drying histories preserved adhesion relative to uniformly harsh drying while reducing drying time in the tested graphite anodes.","rate-switch experiments plus final adhesion; later operational solvent-range inference","C","medium concept; low numerical transfer","graphite/PVDF-NMP and water-based graphite/CMC-SBR anodes","laboratory batch electrodes","stage-switched convection or NIR drying","BAT29;BAT33","https://doi.org/10.1080/07373937.2016.1248975; https://doi.org/10.1002/ente.202301272","reported switching experiments adhesion and limited cell tests","supported for adhesion in source systems","Film temperature binder mobility and evolving heat/mass transfer can all contribute to the observed window","No systematic crack-onset endpoint; switch times and inferred solvent fractions depend on chemistry thickness loading and heating method.","Use only to design a falsifiable LFP state-aligned profile after E2-E4 are measured; do not claim an established anti-crack recipe."
"E076","battery electrode","film temperature versus evaporation flux","At comparable evaporation flux the tested water-based graphite films dried with lower convective transfer and higher actual film temperature showed higher adhesion than stronger-convection cooler films.","measured flux film temperature heat-transfer condition and peel adhesion","C","medium concept; low fracture directness","water-based graphite/CMC-SBR anode","laboratory batch coating around commercial-style areal loading","convection versus NIR with different heat-transfer coefficients","BAT32","https://doi.org/10.1002/ente.202200785","reported drying-rate film-temperature and adhesion matrix","supported as an association under the tested coupled boundaries","Radiative absorption local temperature binder diffusion and boundary nonuniformity co-varied","No direct binder profile wet mechanics stress crack threshold energy efficiency or production-scale validation.","Requires Ts and J as separate project coordinates and blocks the universal rule high temperature equals high cracking."
"E077","battery electrode","architectural and formulation mitigation","Multilayer placement gel-forming additive and wet-on-wet primer strategies improved adhesion or fast-drying electrochemical outcomes in selected water-based graphite systems.","primary mechanical and electrochemical intervention experiments","C","low direct target match","water-based graphite multilayers Laponite formulations and primer-coated anodes","laboratory batch or small roll-to-roll samples","accelerated drying under architecture-specific conditions","BAT31;BAT34;BAT35","https://doi.org/10.1002/ente.202100367; https://doi.org/10.1002/ente.202400057; https://doi.org/10.1002/ente.202401668","reported adhesion transport and cell comparisons","supported within selected source configurations","Particle selection rheology binder amount porosity layer interfaces and extra water changed together","No direct LFP crack-threshold evidence; Laponite can raise tortuosity and primer creates additional solvent inventory and an interface.","Keep as second-stage mitigation only if target data identify migration or bottom-interface weakness; do not use to infer the present crack cause."
"E078","battery electrode sensing","surface pore-emptying proxy","Scattered-light and chromatic-confocal signals detected an operational onset of surface roughening or pore emptying during multistage drying.","in-line optical sensing plus comparison with drying-stage observations","C","medium method relevance; low state uniqueness","water-based graphite anode","laboratory or pilot-like moving coating measurements","multistage drying","BAT36;BAT37","https://doi.org/10.1140/epjs/s11734-024-01402-0; https://doi.org/10.1140/epjs/s11734-025-01649-1","reported optical-signal and surface-state comparisons","supported as an operational surface proxy","Thickness motion vapor airflow and surface morphology can generate similar signals","Thin fast coatings can yield late signals and some metrics saturate after onset; neither method directly observes internal connectivity earliest binder migration or crack initiation.","Candidate E3 sensor requiring target calibration and co-location; not a standalone E2 E4 or E5 alarm."
"E079","battery electrode method","selective CMC migration measurement","Selective staining followed by EDS showed stronger top-side CMC enrichment in fast-dried water-based graphite electrodes than in slow-dried controls.","ex-situ selective chemical labeling plus EDS","C","medium for water-based binder distribution; low target chemistry","water-based graphite/CMC-SBR anode","roll-to-roll coated electrodes sectioned after drying","slow versus fast drying comparison","BAT38","https://doi.org/10.1021/acsaem.5c00048","reported three-depth staining and EDS comparison","supported for NaCMC distribution in source samples","Section preparation staining kinetics and local fields can affect apparent profiles","Tracks CMC but not SBR or PVDF; destructive endpoint method does not identify migration force permeability modulus or cracking.","Strengthens the water-based migration branch but prevents treating binder enrichment alone as proof of target Skin+ or fracture."
"E080","fuel-cell catalyst coating","in-situ crack event proxy","Locally resolved film-temperature rise and optical appearance change coincided operationally with the detected onset of cracking during catalyst-layer drying and initial solvent composition changed drying and crack morphology.","simultaneous in-situ film-temperature and optical crack analysis","D2","medium method relevance; low material and thickness match","Pt/C-Nafion in water/1-propanol","thin catalyst layer on PTFE-related processing substrate","controlled scalable convective drying","FC02","https://doi.org/10.1016/j.colsurfa.2025.138807","official abstract plus source audit of in-situ results","supported as an operational temporal association","Temperature rise may mark reduced evaporation cooling while optical appearance and sub-resolution cracks evolve on different detection thresholds","Thin fuel-cell chemistry binary solvent and substrate differ; consolidation was indicated by proxies rather than direct wet-mechanical measurement.","Supports synchronized Ts plus imaging for E5 timing but temperature rise cannot be named uniquely as E2 E3 or E4."
"E081","fuel-cell catalyst coating","matched-rate driver dependence","At approximately comparable calculated mean drying rates raising heat/mass transfer at fixed film temperature produced much larger crack area than raising film temperature at lower transfer coefficients.","controlled process-route comparison with crack-area and count measurements","D2","high conceptual relevance; low material match","Pt/C-Nafion in water/1-propanol","about 7-10 um catalyst layers","independently varied isothermal film temperature and heat/mass transfer coefficient","FC03","https://doi.org/10.1002/ceat.70192","official PDF pp.4-6 Figs.3-5","supported in source system; about 8.5-8.7 fold crack-area contrast reported for paired approximate rates","Temperature-dependent Nafion relaxation selective evaporation solvent composition and interfacial behavior can all contribute","Calculated mean rates neglect selective evaporation; binary solvents thin layers and Nafion mechanics prevent numerical transfer to LFP/PVDF-NMP.","Direct cross-system counterexample to average drying rate or oven temperature as a sufficient crack coordinate; model loading and relaxation histories separately."
"E082","fuel-cell catalyst coating","material resistance shifts operational thickness threshold","At equal layer thickness increasing CNT fraction strongly reduced total defect area and extended the thickness range below the study's one-percent defect criterion.","thickness and CNT intervention with backlight defect analysis plus local SEM","D2","medium fracture-architecture relevance; low chemistry match","Pt/C-Nafion water/1-propanol with 0-5 wt% CNT","about 4-21 um direct membrane coatings","fixed drying conditions plus a separate film-temperature series","FC01","https://doi.org/10.1016/j.ijhydene.2024.01.049","official PDF pp.3 and 5-7 Figs.7 and 10-13","supported for source defect metric","CNT also changes rheology pore network ionomer-to-carbon ratio conductivity and flaw population; observed bridging is an author hypothesis","The operational CCT uses total defect area below one percent and includes cracking/spalling unlike first-detected-crack CCT; membrane substrate and thickness are not electrode-like.","Supports separating process driving force from formulation-dependent resistance and forbids treating a critical thickness as a geometry-only constant."
